Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NJ
08332,NJ,9.225,64750.33185,02/17/2012,,
08332,NJ,11.73,,12/28/2012,,
07722,NJ,15.12,95389.69906,01/10/2011,,
08080,NJ,5.88,,06/10/2013,,
07882,NJ,3.675,,04/30/2013,,
08844,NJ,4.08,,10/09/2014,,
07719,NJ,10.105,,03/30/2012,,
08844,NJ,8.97,,04/20/2012,,
08701,NJ,5.25,,03/12/2013,,
08736,NJ,5.98,,10/04/2011,,
08251,NJ,8.085,,05/29/2013,,
08505,NJ,6.24,,11/30/2011,,
08057,NJ,13.275,,05/25/2011,,
08066,NJ,7.05,,09/26/2012,,
08753,NJ,5.25,,12/30/2013,,
08205,NJ,4.41,,10/09/2013,,
07885,NJ,5.61,,03/13/2014,,
07078,NJ,9.45,,03/06/2012,,
08050,NJ,6.25,,02/17/2014,,
07735,NJ,6.54,,07/24/2013,,
07080,NJ,3.44,,12/08/2011,,
08822,NJ,6,,07/24/2013,,
08050,NJ,10.464,,07/24/2013,,
07757,NJ,11.28,,10/22/2013,,
08753,NJ,6.615,,09/25/2013,,
07747,NJ,4.51,37100.71258,08/10/2009,,
08873,NJ,7.105,,07/01/2014,,
08230,NJ,7.848,,03/03/2014,,
07470,NJ,10.75,,12/31/2013,,
08009,NJ,14.5,,02/17/2012,,
07932,NJ,10.58,75240.60684,08/18/2010,,
07072,NJ,2.16,,03/12/2013,,
08527,NJ,7.75,,12/30/2013,,
08244,NJ,7.83,,01/02/2014,,
07950,NJ,12.32,,08/16/2011,,
07936,NJ,7.84,,02/11/2014,,
08844,NJ,8.25,57533.85009,10/11/2011,,
08731,NJ,7.05,,04/26/2012,,
08824,NJ,8.415,,07/24/2013,,
08087,NJ,4.8,,05/22/2013,,
08077,NJ,8.575,47386.98827,04/21/2011,,
08205,NJ,10.29,,10/30/2013,,
08724,NJ,5.52,,11/05/2013,,
08502,NJ,8.175,,10/18/2012,,
08753,NJ,8.085,,03/15/2013,,
08831,NJ,7.38,,08/16/2011,,
08012,NJ,12.005,,10/28/2013,,
08514,NJ,6.97,,12/17/2010,,
08077,NJ,4,25849.64008,06/03/2010,,
08734,NJ,4.905,,11/08/2013,,
07821,NJ,4.2,37215.62762,07/28/2010,,
08830,NJ,7.75,,11/27/2013,,
08260,NJ,6.72,,03/21/2013,,
08816,NJ,3.43,,10/16/2014,,
08005,NJ,7.92,,01/30/2013,,
07033,NJ,9.12,,04/01/2013,,
07762,NJ,7.65,,12/30/2013,,
08330,NJ,7.84,,08/22/2013,,
08759,NJ,5,,01/28/2014,,
08865,NJ,3.995,,12/27/2012,,
08330,NJ,16.905,,01/16/2014,,
08753,NJ,8.64,,06/20/2013,,
08098,NJ,10.08,83853.64308,08/24/2009,,
08107,NJ,4.25,,07/03/2013,,
08721,NJ,5.88,,02/19/2014,,
08816,NJ,6.615,,01/10/2014,,
08001,NJ,6.615,,03/25/2013,,
07110,NJ,4.23,,01/08/2013,,
08640,NJ,8.14,,11/18/2013,,
08520,NJ,8.16,,06/04/2013,,
08540,NJ,4.62,39642.715,10/06/2009,,
07726,NJ,11,,12/21/2012,,
08088,NJ,6.5,,06/06/2012,,
07740,NJ,3.22,,09/29/2010,,
08090,NJ,6.63,,06/30/2014,,
08533,NJ,6.24,,06/07/2012,,
07753,NJ,6.44,,04/03/2012,,
07871,NJ,7.05,,03/26/2012,,
08724,NJ,6.5,,03/18/2013,,
07045,NJ,4.165,,05/08/2014,,
08225,NJ,11.76,,04/07/2014,,
08028,NJ,12,,04/09/2013,,
08824,NJ,7.2,51620.71948,08/19/2009,,
08873,NJ,4.08,,03/14/2014,,
08518,NJ,8.405,,12/14/2010,,
08501,NJ,7.25,,07/20/2012,,
07740,NJ,9.18,,11/20/2012,,
08022,NJ,8.14,,12/08/2011,,
07103,NJ,6.37,,11/12/2013,,
08511,NJ,5.98,,07/13/2011,,
08861,NJ,2.82,,10/09/2013,,
08873,NJ,6.5,,11/27/2013,,
08755,NJ,9.87,63480.67285,06/19/2009,,
07652,NJ,6.63,,06/25/2012,,
08087,NJ,4.9,,01/03/2013,,
08022,NJ,5.5,,02/11/2013,,
08620,NJ,5.98,44467.61005,04/26/2010,,
08752,NJ,6.075,47787.05063,01/21/2010,,
08520,NJ,5.76,,10/16/2012,,
08225,NJ,10.29,,08/19/2013,,
07650,NJ,3.75,,08/03/2011,,
08022,NJ,3.69,,12/08/2011,,
08005,NJ,7.68,,08/22/2012,,
08701,NJ,6.66,,08/15/2011,,
07032,NJ,5.64,,01/17/2012,,
08873,NJ,9.5,,01/11/2013,,
08730,NJ,4.7,,01/30/2013,,
08757,NJ,7.25,,10/25/2013,,
08755,NJ,9.66,43511.44828,03/31/2010,,
08757,NJ,5.98,,10/27/2011,,
08005,NJ,4.14,,11/29/2010,,
08857,NJ,4.41,,05/15/2014,,
08054,NJ,5.88,40426.11294,12/01/2010,,
07083,NJ,3.92,,04/25/2014,,
08873,NJ,10,75275.70943,12/22/2009,,
08015,NJ,9.12,,03/07/2012,,
07420,NJ,7.02,,02/22/2013,,
07052,NJ,7.285,,01/16/2013,,
07849,NJ,7,,09/09/2013,,
08817,NJ,4.935,,09/04/2013,,
08701,NJ,14.3,,03/18/2014,,
08758,NJ,7.92,,04/05/2013,,
08088,NJ,7.755,,08/20/2012,,
08022,NJ,6.845,,08/18/2011,,
08204,NJ,8.085,,07/22/2013,,
08533,NJ,10,89798.41519,10/06/2009,,
07005,NJ,9.2,,12/03/2010,,
07109,NJ,4.725,38845.07499,09/28/2009,,
07666,NJ,7.84,,02/05/2014,,
07003,NJ,3.055,,03/07/2013,,
07663,NJ,3.995,,03/16/2012,,
07940,NJ,9.76,81295.91274,04/08/2010,,
08865,NJ,6,,07/30/2013,,
07728,NJ,8.93,55883.17256,09/15/2011,,
07090,NJ,4.08,,05/09/2012,,
08087,NJ,5.04,,12/06/2012,,
07043,NJ,5.875,,10/09/2013,,
08048,NJ,5.04,,12/21/2012,,
07006,NJ,6.615,,04/10/2014,,
07456,NJ,5.94,48376.8505,04/16/2010,,
08078,NJ,8.82,,06/25/2014,,
07011,NJ,5.17,,12/07/2012,,
08527,NJ,6.44,44922.96139,11/05/2010,,
08840,NJ,6.75,64339.16093,02/18/2010,,
07726,NJ,7.92,,04/01/2013,,
08005,NJ,5.635,,12/04/2013,,
08854,NJ,12,,04/10/2013,,
08022,NJ,5.74,,05/13/2011,,
08854,NJ,5.64,,03/07/2013,,
07876,NJ,3.06,,12/01/2014,,
08861,NJ,4.3,,11/17/2011,,
07830,NJ,5.75,,01/08/2014,,
08028,NJ,7.28,,10/28/2013,,
07424,NJ,5.6,53096.72292,01/20/2010,,
07726,NJ,8.05,68942.67092,11/02/2009,,
08204,NJ,5.06,39222.71246,04/05/2010,,
07506,NJ,7.05,,04/22/2013,,
08505,NJ,9.4,,06/12/2012,,
07755,NJ,10.58,,10/27/2011,,
08812,NJ,6.24,51300.16252,09/01/2009,,
07002,NJ,4.165,,03/24/2014,,
07728,NJ,6.9,,08/01/2011,,
08753,NJ,12.5,,09/19/2013,,
07604,NJ,3.055,,10/25/2013,,
08861,NJ,3.185,,05/09/2014,,
08054,NJ,4,,04/27/2012,,
08902,NJ,11.445,,05/31/2013,,
08533,NJ,8,,10/14/2013,,
07083,NJ,1.96,,01/30/2014,,
08844,NJ,12.005,,10/24/2012,,
08502,NJ,9.9,73188.97099,10/13/2011,,
07070,NJ,4.7,,02/22/2012,,
08234,NJ,9.1,,11/03/2014,,
08036,NJ,7.84,,05/21/2013,,
08205,NJ,3.92,,11/27/2013,,
07728,NJ,12,,08/19/2014,,
08087,NJ,15.36,,09/26/2012,,
08854,NJ,9.165,,03/07/2013,,
08831,NJ,9.89,77834.37756,12/18/2009,,
08527,NJ,5.25,,08/13/2013,,
08091,NJ,5.635,,02/20/2014,,
07643,NJ,5.145,,12/12/2013,,
08527,NJ,9.89,,10/06/2010,,
07753,NJ,3.96,,11/02/2010,,
08234,NJ,6.37,,10/01/2013,,
08201,NJ,9.87,73744.91306,10/26/2010,,
08234,NJ,8.16,,03/29/2013,,
07054,NJ,4.165,,04/04/2013,,
07043,NJ,6.37,,06/14/2013,,
08854,NJ,6.75,42380.7983,11/08/2011,,
08053,NJ,7.52,,04/13/2011,,
08080,NJ,9.24,65841.30586,12/04/2009,,
08755,NJ,9,,06/04/2013,,
07924,NJ,6.72,69555.9682,10/25/2010,,
07728,NJ,5.635,,12/20/2012,,
08022,NJ,9.9,55526.57946,05/16/2011,,
08045,NJ,7,,10/14/2013,,
08640,NJ,14.8,,10/16/2013,,
08050,NJ,16.66,,07/03/2013,,
08332,NJ,6.58,37519.49825,08/04/2010,,
08094,NJ,6,,01/17/2014,,
07801,NJ,3.76,,08/22/2011,,
08701,NJ,10.29,,07/23/2013,,
08088,NJ,19.32,75737.16997,11/05/2010,,
08857,NJ,10.56,95365.68674,09/18/2009,,
08852,NJ,8.64,,03/06/2013,,
07070,NJ,5.64,,05/04/2012,,
07727,NJ,5.775,43772.88624,06/19/2009,,
07002,NJ,5.39,,03/19/2014,,
07806,NJ,7.35,,12/26/2013,,
08201,NJ,8.64,,01/04/2013,,
08005,NJ,7.585,,01/10/2012,,
07726,NJ,6.6,,10/20/2011,,
08865,NJ,9.03,86815.65965,09/16/2009,,
08022,NJ,9.8,,07/18/2013,,
08701,NJ,8.695,37992.75574,10/25/2010,,
08080,NJ,4.9,,03/24/2014,,
07039,NJ,5.25,,03/04/2013,,
07643,NJ,10.56,,04/27/2012,,
08527,NJ,6.867,,07/16/2013,,
08854,NJ,5.64,,11/21/2012,,
08210,NJ,4.62,34126.62211,11/20/2009,,
07830,NJ,9.724,82737.67704,07/20/2009,,
08015,NJ,7.84,,12/20/2013,,
07832,NJ,6.66,,07/12/2011,,
08872,NJ,8.82,,11/27/2013,,
08312,NJ,7,,12/10/2012,,
07013,NJ,5.145,,04/22/2013,,
08079,NJ,11.04,,01/12/2012,,
08060,NJ,4,,12/03/2013,,
07080,NJ,6.11,,06/21/2012,,
08812,NJ,10.26,88844.59803,10/20/2010,,
08079,NJ,19.355,,12/19/2013,,
08053,NJ,9.975,58303.99685,10/12/2010,,
08234,NJ,6.37,,07/03/2013,,
08004,NJ,9.12,,01/28/2013,,
08232,NJ,7.05,,02/22/2013,,
07762,NJ,5.39,,05/16/2012,,
08535,NJ,9.6,62775.31024,07/27/2010,,
07095,NJ,5.39,,04/15/2014,,
08060,NJ,5.6,44246.07538,02/16/2010,,
07830,NJ,9.675,78600.99085,10/13/2009,,
07753,NJ,7.35,,12/18/2012,,
08081,NJ,9.81,,03/13/2014,,
08873,NJ,4.165,,09/09/2013,,
08085,NJ,9.5,,04/15/2014,,
08050,NJ,9.5,,02/05/2013,,
08009,NJ,6.9,,12/05/2013,,
07719,NJ,7.03,43889.34649,08/03/2011,,
08536,NJ,7.05,,05/28/2013,,
08550,NJ,9.4,75996.05034,01/14/2010,,
08723,NJ,10.29,,08/16/2013,,
08753,NJ,11.76,,01/31/2014,,
08502,NJ,11.18,,01/07/2011,,
07728,NJ,7.755,,10/14/2011,,
08234,NJ,5.04,,10/14/2010,,
08332,NJ,8.55,60276.73615,01/12/2012,,
08234,NJ,8.28,,08/13/2013,,
08003,NJ,11.515,,05/30/2013,,
08081,NJ,13.77,,04/17/2014,,
08022,NJ,8.25,,01/25/2013,,
08005,NJ,7.13,,03/12/2013,,
08079,NJ,9.945,,03/06/2014,,
07470,NJ,7.75,,10/15/2013,,
08343,NJ,8.88,,11/22/2010,,
08087,NJ,6.72,,08/31/2011,,
08005,NJ,7.05,,12/21/2012,,
07740,NJ,3.92,,11/09/2012,,
08270,NJ,9.975,89036.57109,03/06/2009,,
08742,NJ,5.2,45971.62957,11/17/2009,,
08022,NJ,4.715,,01/21/2011,,
08817,NJ,9.36,78723.04024,02/25/2010,,
08734,NJ,6.51,,10/21/2010,,
07753,NJ,4.75,,06/04/2013,,
08753,NJ,5.5,,09/12/2013,,
07666,NJ,3.92,,02/04/2014,,
08010,NJ,5.5,,05/27/2014,,
07005,NJ,10.2,,01/11/2011,,
07722,NJ,8.28,,02/09/2011,,
08234,NJ,7.28,,04/05/2013,,
07017,NJ,11.76,,08/06/2013,,
08230,NJ,9.9,80054.78132,01/29/2010,,
08043,NJ,6.24,51375.6166,06/23/2010,,
08861,NJ,6.37,,02/27/2014,,
07006,NJ,1.41,,07/25/2013,,
08755,NJ,7.77,70154.06841,09/29/2009,,
08640,NJ,5.55,,10/28/2013,,
07470,NJ,4.3,25599.64719,01/28/2011,,
07002,NJ,6.885,,03/18/2013,,
08053,NJ,4.2,38766.63441,04/19/2010,,
07036,NJ,115.15,,02/28/2013,,
08854,NJ,6.345,,12/28/2012,,
07747,NJ,8,,03/04/2014,,
08753,NJ,7.92,,04/12/2013,,
08804,NJ,5,,06/05/2012,,
08071,NJ,9.75,,12/19/2013,,
07836,NJ,5.64,,11/27/2012,,
08205,NJ,11.76,,01/16/2014,,
08844,NJ,8.1,64320.79842,03/01/2010,,
08215,NJ,10.32,,05/11/2011,,
08008,NJ,8.82,,03/12/2014,,
08077,NJ,5.6,50751.53404,02/16/2010,,
07006,NJ,6.15,,05/18/2011,,
08817,NJ,3.995,,07/31/2014,,
08619,NJ,9.6,86296.7223,02/05/2010,,
08820,NJ,9,,06/14/2013,,
08234,NJ,19.6,,03/13/2014,,
08540,NJ,11.772,,10/03/2012,,
07840,NJ,7.5,,07/12/2013,,
08873,NJ,9.25,,08/13/2013,,
08016,NJ,4.8,,03/12/2013,,
08037,NJ,5.88,,04/15/2013,,
08873,NJ,6.25,,09/24/2013,,
08640,NJ,8.97,,08/29/2013,,
07052,NJ,7.595,,06/21/2013,,
08210,NJ,6.48,,08/14/2013,,
07009,NJ,6.02,49601.05193,12/10/2010,,
08527,NJ,5.28,,04/02/2013,,
08831,NJ,14.82,,06/19/2014,,
07860,NJ,7.26,50803.08817,11/20/2009,,
07920,NJ,19.35,140605.6687,10/07/2010,,
07735,NJ,6,,08/12/2014,,
08343,NJ,10.14,,03/26/2013,,
07849,NJ,5.805,43503.96675,06/23/2010,,
08075,NJ,4.14,,11/08/2011,,
08640,NJ,14.245,,10/21/2013,,
08827,NJ,3.9,,07/10/2013,,
08089,NJ,7.84,,08/19/2013,,
07728,NJ,7.44,,08/14/2012,,
08046,NJ,14.88,,01/25/2013,,
08230,NJ,10.12,76925.16474,04/05/2010,,
08205,NJ,12.72,,06/12/2013,,
07716,NJ,8.74,138832.6351,01/07/2010,,
08201,NJ,5.75,,11/19/2010,,
07410,NJ,2.695,,07/03/2014,,
08514,NJ,7.92,,04/08/2013,,
08831,NJ,9.12,,12/07/2012,,
08611,NJ,3.04,,11/28/2012,,
08527,NJ,12.75,,08/14/2013,,
08008,NJ,7.095,,03/15/2013,,
08302,NJ,7.36,57465.83453,04/22/2010,,
08088,NJ,22.77,,08/28/2012,,
08863,NJ,6.615,,01/23/2014,,
07840,NJ,6.66,,01/13/2011,,
08640,NJ,17.94,,09/13/2013,,
08036,NJ,10.045,,02/12/2013,,
08873,NJ,5.75,,07/03/2013,,
08003,NJ,8.82,,04/16/2014,,
08225,NJ,13.8,,01/28/2013,,
08234,NJ,11.44,,03/25/2013,,
07052,NJ,5.145,,11/20/2013,,
08759,NJ,6.867,,07/24/2013,,
08505,NJ,2.5,,05/18/2012,,
08318,NJ,9.9,75890.61186,10/08/2009,,
08234,NJ,6.48,,05/10/2013,,
08502,NJ,5.268,76100.93276,01/28/2010,,
07013,NJ,3.995,,12/17/2012,,
07733,NJ,9.87,,12/14/2010,,
08817,NJ,3.315,,12/11/2014,,
07826,NJ,9.84,73199.18592,01/15/2010,,
08241,NJ,8.64,,11/09/2012,,
07830,NJ,8.4,51879.85426,03/23/2011,,
08640,NJ,8.14,,11/06/2013,,
08332,NJ,10,,07/23/2012,,
07052,NJ,10.535,,10/19/2011,,
08077,NJ,5,37000.51151,05/19/2010,,
07701,NJ,6.3,52766.54392,07/22/2009,,
07032,NJ,2.115,,02/14/2013,,
08505,NJ,9.1,80560.90091,06/19/2009,,
08501,NJ,6,,01/04/2013,,
08205,NJ,4.41,,12/26/2013,,
08536,NJ,8.8,67847.03971,04/30/2010,,
07083,NJ,4.935,,04/25/2013,,
07663,NJ,5.635,,11/26/2013,,
07110,NJ,4.7,,02/08/2012,,
07726,NJ,6.2,45444.92016,04/22/2010,,
08701,NJ,6.815,,07/26/2011,,
08723,NJ,5.72,38991.73552,12/14/2010,,
08736,NJ,6.58,,01/07/2013,,
07095,NJ,2.94,,02/27/2014,,
08854,NJ,4.465,,05/25/2012,,
08755,NJ,11.27,,08/19/2013,,
08270,NJ,10.32,,03/26/2013,,
08844,NJ,10.5,,12/16/2013,,
08640,NJ,8.36,,09/26/2013,,
08050,NJ,6.63,,04/10/2014,,
07012,NJ,2.94,,12/12/2013,,
08094,NJ,10.56,,03/28/2013,,
08071,NJ,9.555,,06/21/2013,,
08690,NJ,5.75,,10/23/2013,,
07762,NJ,5.355,,11/15/2012,,
08332,NJ,12.25,,11/20/2013,,
08087,NJ,6.867,,07/17/2013,,
07458,NJ,3.9,,10/01/2013,,
07722,NJ,9.9,84110.45941,12/30/2009,,
08701,NJ,10.56,,04/19/2013,,
07646,NJ,5.5,,02/13/2013,,
08077,NJ,7.38,64217.00572,04/26/2011,,
08005,NJ,2.58,23654.21668,10/23/2009,,
08317,NJ,7.84,,06/25/2014,,
07109,NJ,3.525,,05/28/2013,,
07726,NJ,10,,01/28/2013,,
08850,NJ,7.05,,06/20/2013,,
07070,NJ,3.52,,04/01/2013,,
07932,NJ,6.02,,10/20/2011,,
08640,NJ,7.4,,11/14/2013,,
08005,NJ,3.36,,12/03/2012,,
08205,NJ,9.66,57335.00053,07/20/2010,,
08094,NJ,10.29,,02/27/2014,,
08810,NJ,7.99,,11/05/2012,,
08234,NJ,12.005,,12/06/2013,,
08640,NJ,8.97,,08/30/2013,,
07083,NJ,8.46,,03/11/2013,,
07822,NJ,6.16,37860.90427,01/25/2011,,
08807,NJ,9.165,56193.4635,12/08/2010,,
08260,NJ,7.2,57957.24911,03/05/2010,,
08723,NJ,8.6,62894.79277,08/11/2010,,
08054,NJ,15.84,,07/18/2012,,
08050,NJ,8.25,,02/24/2014,,
07748,NJ,9.6,,01/03/2013,,
08844,NJ,9.075,,09/19/2011,,
08054,NJ,5.88,,02/28/2014,,
08318,NJ,9.936,89972.61964,12/10/2010,,
08057,NJ,14.04,113385.4091,05/20/2010,,
08844,NJ,8.64,,11/05/2012,,
08807,NJ,8.55,57378.8029,10/20/2010,,
07643,NJ,4.165,,06/27/2013,,
08070,NJ,8.415,,01/14/2013,,
08037,NJ,8.75,,08/06/2013,,
07644,NJ,2,,07/01/2013,,
08221,NJ,5.52,45985.99184,09/01/2009,,
07719,NJ,5.06,,11/14/2011,,
08205,NJ,8.64,,01/04/2013,,
08037,NJ,9.555,,08/09/2013,,
08527,NJ,2.25,,01/15/2013,,
08081,NJ,9.31,,11/13/2013,,
08086,NJ,5.64,47259.74425,05/18/2010,,
07632,NJ,9.5,,09/12/2013,,
07070,NJ,2.585,,02/22/2012,,
08816,NJ,8.33,,09/25/2014,,
08640,NJ,5.55,,10/15/2013,,
08759,NJ,8.5,,02/05/2013,,
08731,NJ,18.72,,01/30/2013,,
07009,NJ,4.465,,05/22/2013,,
08012,NJ,6.12,,04/16/2014,,
08857,NJ,10.25,,03/31/2014,,
08721,NJ,9.12,,01/28/2014,,
08755,NJ,7,,07/19/2013,,
08873,NJ,3.995,,04/25/2013,,
07643,NJ,3.525,,02/22/2013,,
08022,NJ,6.75,50952.57312,06/04/2010,,
07652,NJ,8.33,,01/23/2014,,
08087,NJ,5.64,,08/29/2012,,
07728,NJ,9.02,,03/07/2012,,
07090,NJ,4.6,41898.65113,08/01/2011,,
07072,NJ,3.84,,06/27/2012,,
08096,NJ,9.36,,10/07/2013,,
08759,NJ,5.5,,08/09/2013,,
08816,NJ,5.1,,01/16/2014,,
08204,NJ,2.6,30178.74565,05/20/2010,,
07722,NJ,3.675,30867.7901,09/16/2009,,
08742,NJ,3.04,,11/06/2012,,
08054,NJ,4,29495.49408,10/05/2009,,
08889,NJ,7.59,31552.41832,09/27/2011,,
08318,NJ,9.975,62234.91461,05/24/2010,,
08822,NJ,9.66,99652.14012,07/19/2010,,
07204,NJ,6,,04/02/2013,,
08558,NJ,12.21,,06/10/2011,,
08876,NJ,8.82,,05/16/2014,,
08812,NJ,6,,09/06/2013,,
07960,NJ,3.76,,09/20/2012,,
08736,NJ,13.734,,01/17/2013,,
08085,NJ,9.66,,09/15/2011,,
08201,NJ,6.75,,07/01/2013,,
08009,NJ,9.25,,01/08/2014,,
07726,NJ,5.6,50361.92789,05/19/2010,,
08835,NJ,9.675,78892.99291,06/03/2010,,
08016,NJ,9.18,,09/17/2012,,
08880,NJ,3.675,,02/27/2014,,
07726,NJ,19.8,,10/12/2011,,
08234,NJ,8.84,,03/27/2013,,
08312,NJ,5.6,54116.76543,02/23/2010,,
08640,NJ,5.52,,09/05/2013,,
08527,NJ,8.1,62320.87129,11/02/2010,,
08848,NJ,19.11,,10/03/2012,,
07758,NJ,9.81,,04/15/2013,,
07095,NJ,3.92,,04/02/2014,,
08533,NJ,4.3,,10/27/2010,,
07950,NJ,10.08,,04/01/2013,,
08060,NJ,5.88,,09/19/2012,,
07076,NJ,5.46,51436.34623,10/20/2010,,
08030,NJ,7.2,,11/17/2010,,
08641,NJ,8.14,,10/17/2013,,
07039,NJ,9.45,76466.17667,11/30/2009,,
08361,NJ,6.125,,04/11/2014,,
08514,NJ,10,86596.42819,09/16/2009,,
07013,NJ,3.525,,04/22/2013,,
07960,NJ,3.525,30072.16516,02/25/2011,,
08831,NJ,6.5,,01/21/2013,,
08640,NJ,8.775,,11/06/2013,,
07017,NJ,5.04,,03/21/2013,,
08816,NJ,5.635,,06/30/2014,,
07701,NJ,5.635,,08/30/2013,,
07008,NJ,4.14,,12/16/2011,,
07852,NJ,7.82,,12/06/2010,,
07726,NJ,9.45,80292.92441,10/23/2009,,
08512,NJ,9.45,75349.07083,02/24/2010,,
08816,NJ,7.35,,10/17/2012,,
08533,NJ,8.085,,12/19/2013,,
08260,NJ,3.675,,03/05/2014,,
07652,NJ,5.04,,07/09/2013,,
08840,NJ,5.39,,02/12/2014,,
08230,NJ,12.15,89252.85828,03/11/2010,,
08817,NJ,6.96,,04/03/2013,,
08817,NJ,5.232,,07/24/2013,,
07042,NJ,2.94,,06/25/2013,,
07010,NJ,3.12,,04/09/2013,,
08201,NJ,9,,11/06/2013,,
08096,NJ,6.11,,06/10/2011,,
08846,NJ,6.615,,06/27/2013,,
08322,NJ,8.575,,02/25/2014,,
08753,NJ,5.28,,12/02/2013,,
08759,NJ,10.12,,07/26/2013,,
08854,NJ,5.405,,09/04/2013,,
07042,NJ,3.9,35885.07087,05/20/2010,,
07848,NJ,12,,11/11/2013,,
08846,NJ,3.92,,10/24/2013,,
07081,NJ,6.615,,04/24/2013,,
08061,NJ,10.105,84764.80818,05/06/2010,,
07036,NJ,4.25,,09/17/2014,,
08223,NJ,7.59,54444.77597,12/17/2010,,
08873,NJ,7.84,,06/25/2013,,
08022,NJ,6.885,,11/05/2012,,
07960,NJ,15.3,,03/14/2013,,
08053,NJ,9.46,,04/01/2013,,
07848,NJ,7.84,,12/20/2013,,
08820,NJ,6.72,55193.17226,10/08/2009,,
08054,NJ,7.4,,10/28/2011,,
08904,NJ,7.955,,02/25/2011,,
08055,NJ,7.92,48322.11219,07/15/2010,,
08062,NJ,16.66,,01/20/2014,,
08245,NJ,13.475,,10/09/2013,,
07064,NJ,8.33,,11/11/2013,,
07065,NJ,6.72,,05/01/2013,,
08640,NJ,14.26,,10/24/2013,,
07728,NJ,9,,03/15/2013,,
08205,NJ,8.82,,05/29/2013,,
08234,NJ,8.82,,10/15/2013,,
07719,NJ,5.88,,06/17/2013,,
08310,NJ,17.15,,02/07/2014,,
07054,NJ,3.315,,04/10/2013,,
08086,NJ,15.19,,12/23/2013,,
07628,NJ,10,,03/13/2014,,
08081,NJ,8.33,,02/27/2014,,
07734,NJ,12.5,,03/19/2013,,
07885,NJ,12.75,,12/15/2014,,
07950,NJ,5.28,,10/09/2012,,
08501,NJ,20,150114.4966,03/17/2010,,
07001,NJ,4.7,,01/17/2013,,
08817,NJ,6.11,,07/25/2013,,
08234,NJ,9.88,,03/27/2013,,
08318,NJ,3.185,,03/29/2013,,
08854,NJ,8.75,,08/20/2013,,
07035,NJ,11.27,,07/23/2013,,
08830,NJ,7.59,,08/02/2011,,
07208,NJ,6.11,,06/27/2013,,
08527,NJ,6.84,,12/04/2012,,
08234,NJ,13.23,,09/18/2013,,
08690,NJ,10.8,86732.12784,10/14/2009,,
07054,NJ,3.995,,07/31/2013,,
07054,NJ,3.36,,04/08/2013,,
08012,NJ,8.84,,06/07/2013,,
08731,NJ,9.87,65378.18895,07/15/2010,,
08844,NJ,11.25,,11/19/2013,,
08057,NJ,112.32,,04/10/2012,,
07762,NJ,2.88,,05/22/2012,,
07719,NJ,7.31,,09/16/2011,,
07013,NJ,4.75,,01/28/2014,,
08005,NJ,6,,05/08/2013,,
08801,NJ,7.05,,02/21/2011,,
08534,NJ,3.64,,04/04/2014,,
07031,NJ,3.525,,12/21/2012,,
08048,NJ,8.82,,02/19/2013,,
07728,NJ,4.81,,08/16/2012,,
08053,NJ,9.43,,05/16/2012,,
08527,NJ,6.6,51554.33997,02/17/2010,,
08234,NJ,7.84,,10/15/2013,,
07063,NJ,5.5,,01/07/2014,,
08501,NJ,9.065,,06/01/2011,,
08251,NJ,13.2,,01/30/2014,,
08701,NJ,8,83922.70586,03/15/2010,,
08844,NJ,9.856,107916.8115,11/06/2010,,
08332,NJ,7.35,,04/22/2013,,
08690,NJ,11.75,,02/12/2013,,
07663,NJ,9.31,,10/25/2013,,
08043,NJ,5.635,,09/19/2013,,
08757,NJ,9.84,,08/01/2012,,
07644,NJ,3.76,,09/26/2013,,
08085,NJ,6.16,,12/14/2012,,
07827,NJ,9.555,,08/19/2013,,
07462,NJ,8,,02/14/2013,,
08757,NJ,5.88,,01/29/2014,,
07076,NJ,17.02,,03/16/2012,,
08201,NJ,8.75,,04/24/2014,,
08205,NJ,6.615,,08/16/2013,,
07876,NJ,7.99,50586.64635,12/21/2010,,
08028,NJ,5.33,,07/28/2011,,
07081,NJ,6.375,,04/15/2013,,
07719,NJ,3.25,,10/31/2013,,
07083,NJ,4.165,,01/10/2014,,
08210,NJ,2.15,16342.79686,04/29/2010,,
08723,NJ,9.36,,12/14/2012,,
07885,NJ,2.04,,09/25/2014,,
08854,NJ,7.25,,05/23/2013,,
08332,NJ,7.36,,05/05/2011,,
07747,NJ,5.33,,07/18/2011,,
08065,NJ,9.45,65662.69218,07/28/2010,,
08202,NJ,8.14,,10/21/2011,,
07031,NJ,3.76,,05/10/2012,,
08846,NJ,6.815,,11/12/2013,,
08053,NJ,6.72,46187.40235,03/29/2010,,
07080,NJ,3.68,26651.5533,12/14/2010,,
08037,NJ,7.82,,10/19/2010,,
08830,NJ,4.9,,02/27/2014,,
07663,NJ,4.935,,01/09/2014,,
08332,NJ,7.2,50155.9322,03/12/2012,,
08520,NJ,8.74,,01/04/2012,,
08741,NJ,6,,02/26/2014,,
08854,NJ,5.64,,05/25/2012,,
07080,NJ,4.23,,08/20/2012,,
07604,NJ,4.165,,07/09/2014,,
08226,NJ,7.105,,12/20/2013,,
07762,NJ,6.44,,11/24/2010,,
07001,NJ,5,,02/24/2014,,
07065,NJ,3.25,,08/19/2013,,
08003,NJ,5.75,,01/28/2013,,
08204,NJ,10.12,65819.06506,09/16/2010,,
07645,NJ,8.16,,12/12/2011,,
