Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=CT
06824,CT,10.0,36250.0,05/17/2013,,
06880,CT,8.64,31104.0,05/17/2013,,
06824,CT,2.25,12875.0,05/17/2013,,
06033,CT,5.17,29400.0,05/17/2013,,
06516,CT,4.8,22250.0,05/17/2013,,
06824,CT,5.28,17994.0,05/14/2013,,
06784,CT,2.88,22966.15,05/13/2013,,
06801,CT,6.48,32238.0,05/13/2013,,
06784,CT,8.64,42984.0,05/13/2013,,
06825,CT,9.25,39313.0,05/13/2013,,
06880,CT,5.5,19641.6,05/08/2013,,
06037,CT,7.8,38805.0,05/08/2013,,
06880,CT,3.6,17352.0,05/08/2013,,
06906,CT,4.41,21315.0,05/08/2013,,
06880,CT,6.75,22485.6,05/08/2013,,
06069,CT,10.78,62526.0,05/08/2013,,
06798,CT,4.16,34692.0,05/08/2013,,
06480,CT,7.6,30456.0,05/08/2013,,
06062,CT,5.52,27462.0,05/08/2013,,
06824,CT,6.75,24138.0,05/08/2013,,
06480,CT,7.11,27426.0,05/08/2013,,
06443,CT,10.81,75940.0,05/08/2013,,
06039,CT,6.86,26300.0,05/08/2013,,
06470,CT,10.0,42176.69,05/08/2013,,
06385,CT,10.46,49154.04,05/08/2013,,
06606,CT,5.76,28656.0,05/08/2013,,
06477,CT,7.68,38208.0,05/08/2013,,
06410,CT,9.9,49252.5,05/08/2013,,
06413,CT,7.65,30666.0,05/07/2013,,
06107,CT,5.2,23140.0,05/07/2013,,
06468,CT,10.5,48025.0,05/07/2013,,
06488,CT,10.2,44370.0,05/07/2013,,
06512,CT,6.9,40710.0,05/07/2013,,
06880,CT,6.87,35471.7,05/07/2013,,
06478,CT,6.0,29520.0,05/06/2013,,
06478,CT,7.5,36728.0,05/06/2013,,
06076,CT,5.76,28656.0,05/06/2013,,
06480,CT,5.88,22997.0,05/06/2013,,
06422,CT,6.75,23625.0,05/06/2013,,
06033,CT,3.83,19525.0,05/06/2013,,
06422,CT,6.0,21000.0,05/06/2013,,
06422,CT,3.75,13125.0,05/06/2013,,
06422,CT,6.75,25988.0,05/06/2013,,
06281,CT,4.94,24576.5,05/06/2013,,
06422,CT,9.16,41201.0,05/06/2013,,
06422,CT,3.92,17658.0,05/06/2013,,
06422,CT,11.0,47250.0,05/06/2013,,
06058,CT,4.41,20948.0,05/06/2013,,
06880,CT,6.21,31484.7,05/06/2013,,
06084,CT,10.97,57843.0,05/06/2013,,
06473,CT,5.04,24192.0,05/06/2013,,
06353,CT,7.65,30600.0,05/06/2013,,
06076,CT,4.08,20298.0,05/06/2013,,
06084,CT,10.79,95351.74,05/06/2013,,
06851,CT,9.6,48480.0,05/02/2013,,
06234,CT,5.76,28656.0,05/02/2013,,
06066,CT,9.07,45778.25,05/01/2013,,
06033,CT,6.86,34643.0,05/01/2013,,
06002,CT,5.04,25074.0,05/01/2013,,
06053,CT,7.92,39402.0,05/01/2013,,
06037,CT,9.12,45372.0,05/01/2013,,
06511,CT,7.2,35820.0,05/01/2013,,
06902,CT,9.36,46566.0,05/01/2013,,
06489,CT,11.04,51408.0,05/01/2013,,
06422,CT,4.5,15750.0,04/24/2013,,
06422,CT,11.0,39375.0,04/24/2013,,
06422,CT,5.25,18375.0,04/24/2013,,
06422,CT,5.5,19250.0,04/24/2013,,
06247,CT,1.96,23696.39,04/24/2013,,
06790,CT,5.52,27876.0,04/23/2013,,
06062,CT,5.2,23000.0,04/23/2013,,
06513,CT,5.39,26815.25,04/23/2013,,
06880,CT,10.92,39967.2,04/23/2013,,
06424,CT,3.84,19104.0,04/23/2013,,
06762,CT,8.88,44178.0,04/23/2013,,
06413,CT,6.21,35986.93,04/23/2013,,
06525,CT,4.56,22686.0,04/23/2013,,
06512,CT,5.04,22182.0,04/23/2013,,
06880,CT,5.04,17488.8,04/23/2013,,
06247,CT,5.39,17548.0,04/23/2013,,
06260,CT,4.9,8678.0,04/23/2013,,
06902,CT,5.0,26973.0,04/23/2013,,
06032,CT,7.44,31992.0,04/22/2013,,
06824,CT,9.25,37850.0,04/22/2013,,
06469,CT,8.51,35168.0,04/22/2013,,
06851,CT,5.0,22000.0,04/19/2013,,
06880,CT,7.8,29328.0,04/18/2013,,
06001,CT,9.44,47200.0,04/18/2013,,
06412,CT,4.0,14400.0,04/18/2013,,
06118,CT,5.04,20000.0,04/18/2013,,
06880,CT,7.68,27417.6,04/18/2013,,
06880,CT,5.04,17488.8,04/18/2013,,
06437,CT,2.88,22345.89,04/18/2013,,
06880,CT,6.0,21420.0,04/18/2013,,
06880,CT,5.28,18849.6,04/18/2013,,
06480,CT,9.31,33609.0,04/18/2013,,
06880,CT,3.84,13324.8,04/18/2013,,
06460,CT,7.35,32645.0,04/18/2013,,
06423,CT,11.03,47505.0,04/18/2013,,
06010,CT,8.64,38575.0,04/18/2013,,
06107,CT,2.82,17520.0,04/18/2013,,
06117,CT,4.32,23028.0,04/15/2013,,
06424,CT,7.2,35820.0,04/11/2013,,
06612,CT,7.92,39402.0,04/11/2013,,
06612,CT,8.64,42984.0,04/11/2013,,
06478,CT,9.9,49252.5,04/10/2013,,
06489,CT,7.68,38208.0,04/10/2013,,
06277,CT,3.36,16716.0,04/10/2013,,
06001,CT,5.28,26268.0,04/10/2013,,
06854,CT,9.24,42984.0,04/10/2013,,
06489,CT,9.36,40716.0,04/10/2013,,
06484,CT,8.97,36800.0,04/10/2013,,
06511,CT,6.44,29624.0,04/10/2013,,
06110,CT,3.12,15756.0,04/09/2013,,
06241,CT,3.5,13800.0,04/09/2013,,
06457,CT,9.95,60426.0,04/09/2013,,
06422,CT,6.0,21000.0,04/09/2013,,
06422,CT,10.75,49000.0,04/09/2013,,
06422,CT,6.75,25988.0,04/09/2013,,
06422,CT,9.0,31500.0,04/09/2013,,
06422,CT,5.25,18375.0,04/09/2013,,
06278,CT,4.32,15552.0,04/09/2013,,
06057,CT,5.28,18638.0,04/09/2013,,
06422,CT,6.0,21000.0,04/09/2013,,
06422,CT,9.16,44406.0,04/09/2013,,
06117,CT,8.25,33225.0,04/09/2013,,
06239,CT,7.19,32630.0,04/09/2013,,
06751,CT,2.88,16126.0,04/09/2013,,
06268,CT,9.81,47066.0,04/09/2013,,
06057,CT,3.43,17064.25,04/08/2013,,
06057,CT,9.8,48755.0,04/08/2013,,
06264,CT,9.36,46566.0,04/08/2013,,
06422,CT,8.25,28875.0,04/03/2013,,
06812,CT,11.03,69553.0,04/03/2013,,
06422,CT,11.0,38500.0,04/03/2013,,
06851,CT,7.0,28949.0,04/03/2013,,
06419,CT,5.5,19253.0,04/03/2013,,
06878,CT,4.0,22275.0,04/03/2013,,
06831,CT,4.8,28946.0,04/03/2013,,
06460,CT,5.36,22625.0,04/03/2013,,
06420,CT,6.24,31044.0,04/02/2013,,
06488,CT,6.96,34626.0,04/02/2013,,
06013,CT,4.8,23880.0,04/02/2013,,
06410,CT,8.64,42984.0,04/02/2013,,
06107,CT,4.32,21492.0,04/02/2013,,
06226,CT,6.76,33631.0,04/02/2013,,
06281,CT,6.24,31044.0,04/02/2013,,
06010,CT,9.6,47760.0,04/02/2013,,
06382,CT,6.24,31044.0,04/02/2013,,
06057,CT,5.98,29750.5,04/02/2013,,
06032,CT,8.16,40596.0,04/02/2013,,
06241,CT,9.84,48954.0,04/02/2013,,
06277,CT,9.36,46566.0,04/02/2013,,
06378,CT,3.36,16716.0,04/02/2013,,
06410,CT,5.72,28457.0,04/02/2013,,
06120,CT,3.6,17910.0,04/02/2013,,
06824,CT,5.28,26268.0,04/02/2013,,
06117,CT,6.16,30646.0,04/02/2013,,
06480,CT,5.28,26268.0,04/02/2013,,
06712,CT,4.56,23758.0,04/02/2013,,
06028,CT,3.99,20349.0,04/02/2013,,
06770,CT,6.96,34626.0,04/01/2013,,
06820,CT,8.64,42984.0,04/01/2013,,
06489,CT,6.24,31044.0,03/28/2013,,
06751,CT,5.52,27462.0,03/28/2013,,
06460,CT,5.72,28457.0,03/28/2013,,
06883,CT,11.25,54000.0,03/28/2013,,
06489,CT,9.8,38000.0,03/28/2013,,
06890,CT,7.2,32400.0,03/28/2013,,
06117,CT,3.6,18180.0,03/27/2013,,
06010,CT,6.37,24906.7,03/27/2013,,
06037,CT,4.94,22308.0,03/27/2013,,
06070,CT,8.82,33957.0,03/27/2013,,
06415,CT,4.9,48800.43,03/27/2013,,
06824,CT,4.0,15100.0,03/27/2013,,
06403,CT,9.12,45372.0,03/27/2013,,
06460,CT,4.16,20696.0,03/27/2013,,
06250,CT,4.32,15120.0,03/27/2013,,
06480,CT,6.37,24270.0,03/25/2013,,
06351,CT,9.84,48954.0,03/25/2013,,
06359,CT,9.12,45372.0,03/25/2013,,
06259,CT,5.89,32902.0,03/25/2013,,
06762,CT,8.58,34501.5,03/25/2013,,
06320,CT,6.6,32835.0,03/25/2013,,
06880,CT,4.8,16656.0,03/22/2013,,
06880,CT,10.08,34997.6,03/22/2013,,
06782,CT,7.28,29556.8,03/22/2013,,
06776,CT,10.78,55000.0,03/22/2013,,
06612,CT,9.5,47025.0,03/22/2013,,
06880,CT,2.16,8251.2,03/22/2013,,
06880,CT,2.64,9160.8,03/22/2013,,
06473,CT,5.0,22250.0,03/22/2013,,
06820,CT,11.0,51838.1,03/22/2013,,
06825,CT,4.0,14950.0,03/21/2013,,
06824,CT,7.0,25300.0,03/21/2013,,
06824,CT,8.0,28950.0,03/21/2013,,
06066,CT,4.8,21120.0,03/21/2013,,
06279,CT,1.44,10410.0,03/21/2013,,
06824,CT,5.52,19096.0,03/21/2013,,
06442,CT,9.81,48552.45,03/21/2013,,
06880,CT,10.08,34977.0,03/20/2013,,
06880,CT,7.36,38051.2,03/20/2013,,
06237,CT,6.0,25632.0,03/20/2013,,
06422,CT,10.79,63438.0,03/20/2013,,
06422,CT,6.5,26250.0,03/20/2013,,
06880,CT,6.24,20820.0,03/20/2013,,
06422,CT,5.5,25375.0,03/20/2013,,
06824,CT,5.52,19096.0,03/20/2013,,
06824,CT,7.25,25400.0,03/20/2013,,
06611,CT,8.16,40596.0,03/20/2013,,
06035,CT,6.58,32431.0,03/20/2013,,
06880,CT,6.24,21652.8,03/20/2013,,
06255,CT,7.68,22170.0,03/20/2013,,
06901,CT,10.08,45561.6,03/20/2013,,
06824,CT,10.4,42984.0,03/20/2013,,
06516,CT,9.75,38566.0,03/20/2013,,
06897,CT,6.48,40176.0,03/20/2013,,
06081,CT,4.56,26664.0,03/20/2013,,
06420,CT,6.62,32388.72,03/20/2013,,
06067,CT,6.96,31500.0,03/20/2013,,
06612,CT,9.6,47760.0,03/19/2013,,
06053,CT,2.88,14328.0,03/19/2013,,
06840,CT,10.56,52536.0,03/18/2013,,
06033,CT,5.76,20160.0,03/15/2013,,
06066,CT,5.76,20160.0,03/15/2013,,
06043,CT,5.28,19008.0,03/15/2013,,
06043,CT,5.76,20160.0,03/15/2013,,
06006,CT,5.0,20000.0,03/14/2013,,
06457,CT,4.0,25520.0,03/13/2013,,
06422,CT,5.0,17500.0,03/13/2013,,
06422,CT,9.0,31500.0,03/13/2013,,
06033,CT,3.12,16224.0,03/13/2013,,
06441,CT,10.0,46500.0,03/13/2013,,
06359,CT,5.28,18321.6,03/13/2013,,
06489,CT,1.2,3550.0,03/13/2013,,
06074,CT,8.64,42984.0,03/13/2013,,
06333,CT,7.75,32850.0,03/13/2013,,
06790,CT,4.8,23496.0,03/13/2013,,
06351,CT,6.86,23003.0,03/13/2013,,
06470,CT,5.5,22000.0,03/13/2013,,
06824,CT,6.24,30600.0,03/13/2013,,
06423,CT,6.24,23900.0,03/13/2013,,
06489,CT,4.8,20160.0,03/13/2013,,
06824,CT,5.17,23000.0,03/13/2013,,
06883,CT,7.35,44247.0,03/13/2013,,
06791,CT,5.64,23701.8,03/13/2013,,
06750,CT,11.0,50290.0,03/13/2013,,
06070,CT,4.41,19800.9,03/12/2013,,
06026,CT,7.8,30030.0,03/12/2013,,
06460,CT,5.39,24425.0,03/12/2013,,
06473,CT,5.61,36500.0,03/12/2013,,
06035,CT,8.58,47816.0,03/12/2013,,
06070,CT,5.15,21711.9,03/12/2013,,
06410,CT,8.06,40098.5,03/12/2013,,
06422,CT,9.25,32375.0,03/12/2013,,
06489,CT,5.76,28656.0,03/12/2013,,
06010,CT,8.4,41790.0,03/12/2013,,
06488,CT,6.12,30600.0,03/12/2013,,
06614,CT,4.16,20696.0,03/12/2013,,
06029,CT,5.04,17990.0,03/12/2013,,
06776,CT,5.64,34686.0,03/12/2013,,
06107,CT,3.9,19402.5,03/11/2013,,
06708,CT,6.0,26284.0,03/11/2013,,
06480,CT,6.86,24763.0,03/11/2013,,
06110,CT,6.0,29850.0,03/11/2013,,
06035,CT,5.2,25870.0,03/11/2013,,
06480,CT,9.8,41757.0,03/11/2013,,
06514,CT,10.54,40930.0,03/11/2013,,
06514,CT,9.12,45372.0,03/11/2013,,
06074,CT,3.36,16716.0,03/11/2013,,
06480,CT,3.92,14151.0,03/11/2013,,
06401,CT,9.36,46566.0,03/11/2013,,
06473,CT,5.23,31235.0,03/11/2013,,
06040,CT,3.84,19104.0,03/07/2013,,
06905,CT,3.12,15522.0,03/06/2013,,
06883,CT,10.32,51342.0,03/06/2013,,
06382,CT,6.72,33432.0,03/06/2013,,
06870,CT,8.32,42685.5,03/06/2013,,
06812,CT,4.42,21990.5,03/06/2013,,
06457,CT,3.36,16716.0,03/06/2013,,
06812,CT,9.36,46566.0,03/06/2013,,
06825,CT,6.76,33631.0,03/06/2013,,
06897,CT,4.8,23880.0,03/06/2013,,
06250,CT,5.76,28656.0,03/06/2013,,
06825,CT,2.88,14328.0,03/06/2013,,
06612,CT,5.28,26268.0,03/06/2013,,
06231,CT,9.12,38304.0,03/06/2013,,
06478,CT,9.36,46566.0,03/06/2013,,
06331,CT,6.48,32238.0,03/06/2013,,
06027,CT,9.9,49252.5,03/06/2013,,
06281,CT,6.96,34626.0,03/06/2013,,
06016,CT,9.84,51266.0,03/06/2013,,
06238,CT,5.76,20300.0,03/05/2013,,
06084,CT,5.28,18480.0,03/05/2013,,
06401,CT,10.78,43012.0,03/05/2013,,
06340,CT,2.4,14400.0,03/05/2013,,
06405,CT,7.11,29627.85,03/05/2013,,
06480,CT,7.25,29861.0,03/05/2013,,
06480,CT,5.88,22696.0,03/05/2013,,
06457,CT,6.87,37138.0,03/05/2013,,
06480,CT,6.37,22997.0,03/05/2013,,
06078,CT,4.5,18000.0,03/05/2013,,
06415,CT,5.0,20000.0,03/05/2013,,
06897,CT,5.15,20712.0,03/05/2013,,
06810,CT,10.08,53323.2,03/05/2013,,
06460,CT,7.19,46409.0,03/05/2013,,
06408,CT,9.16,44589.72,03/05/2013,,
06353,CT,8.82,52000.0,03/05/2013,,
06378,CT,4.8,26840.0,03/05/2013,,
06480,CT,5.39,19458.0,02/26/2013,,
06277,CT,9.6,47760.0,02/25/2013,,
06405,CT,3.0,18767.0,02/24/2013,,
06611,CT,3.0,19090.2,02/22/2013,,
06475,CT,10.5,48600.0,02/20/2013,,
06437,CT,10.78,39885.0,02/20/2013,,
06268,CT,7.85,70682.75,02/20/2013,,
06461,CT,9.25,38110.0,02/20/2013,,
06413,CT,3.38,21950.0,02/20/2013,,
06010,CT,10.0,36500.0,02/20/2013,,
06786,CT,6.72,30800.0,02/20/2013,,
06489,CT,8.0,35325.0,02/20/2013,,
06784,CT,10.78,47432.0,02/20/2013,,
06877,CT,4.08,23306.0,02/20/2013,,
06501,CT,4.8,29661.0,02/20/2013,,
06234,CT,6.0,30000.0,02/20/2013,,
06234,CT,6.0,30000.0,02/20/2013,,
06419,CT,10.8,45110.0,02/14/2013,,
06415,CT,5.52,27462.0,02/13/2013,,
06461,CT,6.24,31044.0,02/07/2013,,
06787,CT,6.96,34626.0,02/07/2013,,
06518,CT,9.9,49252.5,02/07/2013,,
06422,CT,8.0,31500.0,02/05/2013,,
06422,CT,9.0,31500.0,02/05/2013,,
06422,CT,4.5,15753.0,02/05/2013,,
06422,CT,8.25,28875.0,02/05/2013,,
06422,CT,6.0,21000.0,02/05/2013,,
06422,CT,7.0,26250.0,02/05/2013,,
06511,CT,5.04,24948.0,02/05/2013,,
06281,CT,10.79,124024.43,02/05/2013,,
06612,CT,11.0,48000.0,02/05/2013,,
06281,CT,9.16,104729.1,02/05/2013,,
06033,CT,3.36,18047.0,02/05/2013,,
06330,CT,6.16,30646.0,02/04/2013,,
06019,CT,9.6,47760.0,02/04/2013,,
06851,CT,4.56,22686.0,02/04/2013,,
06408,CT,7.75,34100.0,02/01/2013,,
06469,CT,4.0,16000.0,02/01/2013,,
06105,CT,7.8,30420.0,02/01/2013,,
06880,CT,6.63,23669.1,02/01/2013,,
06450,CT,9.88,39748.8,02/01/2013,,
06701,CT,5.0,22250.0,02/01/2013,,
06408,CT,10.0,44500.0,02/01/2013,,
06460,CT,3.43,13887.0,02/01/2013,,
06489,CT,5.0,21250.0,02/01/2013,,
06901,CT,6.12,24316.0,02/01/2013,,
06902,CT,4.94,14993.0,02/01/2013,,
06277,CT,5.88,16682.0,02/01/2013,,
06060,CT,5.76,30384.0,02/01/2013,,
06250,CT,5.04,16984.0,02/01/2013,,
06810,CT,4.56,26453.0,02/01/2013,,
06820,CT,6.08,34108.8,02/01/2013,,
06235,CT,5.17,28876.0,02/01/2013,,
06750,CT,10.71,44815.0,02/01/2013,,
06371,CT,9.56,61360.0,02/01/2013,,
06371,CT,10.12,36244.0,02/01/2013,,
06424,CT,7.61,47912.0,02/01/2013,,
06340,CT,2.88,22003.0,02/01/2013,,
06422,CT,4.25,20462.0,01/29/2013,,
06422,CT,8.25,53450.0,01/29/2013,,
06489,CT,9.0,37000.0,01/29/2013,,
06880,CT,10.0,44352.0,01/29/2013,,
06897,CT,7.04,35024.0,01/29/2013,,
06422,CT,9.0,31500.0,01/28/2013,,
06422,CT,9.0,31500.0,01/28/2013,,
06422,CT,7.25,25725.0,01/28/2013,,
06422,CT,10.0,37866.0,01/28/2013,,
06422,CT,9.16,58500.0,01/28/2013,,
06825,CT,6.24,31044.0,01/24/2013,,
06422,CT,9.0,31500.0,01/16/2013,,
06880,CT,5.28,18321.6,01/16/2013,,
06422,CT,4.5,15750.0,01/16/2013,,
06880,CT,4.8,16656.0,01/16/2013,,
06070,CT,5.0,20500.0,01/16/2013,,
06880,CT,6.0,20820.0,01/16/2013,,
06422,CT,11.0,44625.0,01/16/2013,,
06422,CT,9.81,47579.0,01/16/2013,,
06441,CT,3.92,19443.21,01/16/2013,,
06422,CT,11.0,42353.0,01/16/2013,,
06422,CT,9.5,52250.0,01/16/2013,,
06095,CT,7.5,31050.0,01/16/2013,,
06880,CT,11.04,38308.8,01/16/2013,,
06029,CT,8.58,32175.0,01/16/2013,,
06457,CT,4.66,25369.75,01/16/2013,,
06880,CT,2.16,7711.2,01/16/2013,,
06105,CT,6.0,24780.0,01/16/2013,,
06614,CT,8.09,35421.0,01/16/2013,,
06475,CT,6.75,30915.0,01/16/2013,,
06511,CT,7.0,28560.0,01/16/2013,,
06473,CT,5.88,29106.0,01/16/2013,,
06105,CT,6.63,36315.0,01/16/2013,,
06471,CT,6.87,37371.06,01/16/2013,,
06105,CT,5.0,22550.0,01/16/2013,,
06013,CT,10.32,52632.0,01/16/2013,,
06070,CT,5.75,22712.83,01/16/2013,,
06437,CT,8.64,47280.31,01/15/2013,,
06475,CT,3.92,25081.29,01/15/2013,,
06475,CT,7.2,40888.0,01/15/2013,,
06422,CT,6.75,26250.0,01/14/2013,,
06443,CT,6.5,29250.0,01/14/2013,,
06424,CT,11.04,45368.0,01/11/2013,,
06484,CT,10.0,39570.0,12/21/2012,,
06512,CT,3.19,15925.0,12/20/2012,,
06422,CT,5.25,18375.0,12/20/2012,,
06249,CT,5.15,25293.26,12/20/2012,,
06351,CT,2.25,27000.0,12/20/2012,,
06109,CT,7.25,28288.0,12/20/2012,,
06067,CT,3.76,24485.0,12/20/2012,,
06878,CT,5.0,24750.0,12/20/2012,,
06234,CT,10.79,88105.88,12/20/2012,,
06437,CT,5.46,26754.0,12/20/2012,,
06877,CT,5.15,14040.0,12/20/2012,,
06359,CT,11.2,48126.0,12/20/2012,,
06423,CT,5.5,27500.0,12/20/2012,,
06840,CT,7.88,51446.97,12/20/2012,,
06410,CT,5.28,26268.0,12/18/2012,,
06460,CT,7.68,32658.0,12/18/2012,,
06422,CT,7.0,24500.0,12/17/2012,,
06422,CT,11.0,42000.0,12/17/2012,,
06422,CT,9.75,34125.0,12/17/2012,,
06422,CT,5.0,19250.0,12/17/2012,,
06013,CT,9.81,51771.2,12/17/2012,,
06019,CT,4.32,26784.0,12/17/2012,,
06084,CT,5.28,20592.0,12/06/2012,,
06754,CT,4.5,22050.0,12/06/2012,,
06525,CT,6.96,31668.0,12/06/2012,,
06084,CT,10.97,52708.51,12/06/2012,,
06460,CT,10.78,48461.0,12/06/2012,,
06037,CT,6.5,44600.0,12/06/2012,,
06830,CT,8.0,43000.0,12/06/2012,,
06074,CT,10.08,42500.0,12/06/2012,,
06281,CT,10.79,115085.62,12/06/2012,,
06759,CT,7.5,40875.0,12/06/2012,,
06470,CT,3.36,16716.0,12/06/2012,,
06039,CT,9.36,46566.0,12/06/2012,,
06776,CT,8.64,42984.0,12/06/2012,,
06063,CT,7.28,57128.0,12/06/2012,,
06475,CT,3.92,23148.0,12/06/2012,,
06026,CT,6.67,29450.0,12/06/2012,,
06016,CT,6.87,87183.98,12/06/2012,,
06088,CT,9.0,36360.0,12/06/2012,,
06824,CT,11.05,56500.0,12/06/2012,,
06357,CT,6.72,37942.0,12/06/2012,,
06824,CT,4.94,24700.0,12/06/2012,,
06419,CT,5.0,23000.0,12/06/2012,,
06355,CT,5.76,32251.88,12/06/2012,,
06095,CT,8.88,44178.0,11/30/2012,,
06085,CT,8.88,46566.0,11/30/2012,,
06460,CT,8.09,33148.5,11/27/2012,,
06010,CT,10.78,58800.0,11/27/2012,,
06475,CT,7.19,39600.0,11/27/2012,,
06473,CT,3.45,21000.0,11/27/2012,,
06071,CT,10.75,61088.0,11/26/2012,,
06226,CT,6.75,29295.0,11/21/2012,,
06457,CT,3.5,17500.0,11/21/2012,,
06422,CT,10.56,52536.0,11/21/2012,,
06820,CT,11.0,85640.0,11/21/2012,,
06232,CT,4.92,23794.0,11/21/2012,,
06335,CT,5.76,26724.03,11/21/2012,,
06029,CT,4.0,16800.0,11/21/2012,,
06460,CT,5.23,26695.36,11/21/2012,,
06385,CT,5.76,32251.88,11/21/2012,,
06248,CT,5.76,22464.0,11/20/2012,,
06351,CT,5.52,27462.0,11/20/2012,,
06039,CT,6.0,33800.0,11/20/2012,,
06035,CT,5.0,21250.0,11/20/2012,,
06378,CT,4.7,17156.0,11/20/2012,,
06351,CT,5.76,28656.0,11/20/2012,,
06777,CT,8.09,42446.0,11/20/2012,,
06019,CT,4.75,21900.0,11/20/2012,,
06807,CT,6.24,33880.0,11/20/2012,,
06880,CT,1.9,20924.17,11/20/2012,,
06475,CT,3.27,22826.78,11/20/2012,,
06447,CT,10.79,92535.11,11/20/2012,,
06378,CT,3.92,22212.0,11/20/2012,,
06249,CT,8.82,46300.53,11/20/2012,,
06010,CT,5.52,0.0,11/16/2012,,
06027,CT,10.14,50446.5,11/14/2012,,
06110,CT,7.72,37286.0,11/14/2012,,
06798,CT,6.24,31044.0,11/08/2012,,
06477,CT,9.2,38640.0,11/08/2012,,
06443,CT,5.61,24750.0,11/06/2012,,
06067,CT,2.5,10000.0,11/06/2012,,
06371,CT,7.19,37387.87,11/06/2012,,
06250,CT,10.78,53961.0,11/06/2012,,
06489,CT,7.35,32707.0,11/06/2012,,
06840,CT,5.1,27327.6,11/06/2012,,
06611,CT,6.0,30300.0,11/06/2012,,
06105,CT,9.12,47880.0,10/31/2012,,
06708,CT,6.72,33432.0,10/31/2012,,
06070,CT,9.81,45000.3,10/26/2012,,
06791,CT,10.78,62200.6,10/26/2012,,
06281,CT,11.03,34495.0,10/26/2012,,
06801,CT,4.14,26910.0,10/26/2012,,
06410,CT,9.6,47760.0,10/25/2012,,
06612,CT,5.04,25074.0,10/24/2012,,
06701,CT,3.12,14040.0,10/23/2012,,
06231,CT,5.28,20680.0,10/23/2012,,
06351,CT,7.0,37800.0,10/23/2012,,
06475,CT,9.8,65800.0,10/22/2012,,
06111,CT,8.0,31525.0,10/22/2012,,
06786,CT,2.0,8000.0,10/22/2012,,
06382,CT,11.25,37800.0,10/22/2012,,
06374,CT,8.64,42984.0,10/22/2012,,
06371,CT,4.8,23880.0,10/22/2012,,
06422,CT,10.79,99948.98,10/22/2012,,
06043,CT,10.79,117679.03,10/11/2012,,
06457,CT,10.2,35584.0,10/10/2012,,
06853,CT,9.25,50655.0,10/10/2012,,
06082,CT,5.04,19247.0,10/10/2012,,
06484,CT,8.0,30240.0,10/10/2012,,
06057,CT,4.41,19845.0,10/10/2012,,
06074,CT,9.16,53523.28,10/10/2012,,
06890,CT,10.58,41371.25,10/10/2012,,
06382,CT,9.0,36578.0,10/10/2012,,
06705,CT,10.46,51698.7,10/10/2012,,
06801,CT,6.0,25860.0,10/10/2012,,
06468,CT,4.32,19947.0,10/10/2012,,
06076,CT,5.04,23486.4,10/10/2012,,
06753,CT,8.46,41454.0,10/10/2012,,
06498,CT,2.88,16128.0,10/10/2012,,
06437,CT,10.08,47069.6,10/10/2012,,
06482,CT,15.04,0.0,10/10/2012,,
06026,CT,10.56,71158.0,10/10/2012,,
06374,CT,7.92,39402.0,10/04/2012,,
06066,CT,7.68,40013.0,10/04/2012,,
06033,CT,7.2,35820.0,10/03/2012,,
06090,CT,7.92,41263.0,10/03/2012,,
06247,CT,1.0,24816.0,09/30/2012,,
06778,CT,1.23,10245.9,09/27/2012,,
06870,CT,6.62,39888.45,09/27/2012,,
06073,CT,5.0,25292.0,09/26/2012,,
06422,CT,10.08,39480.0,09/26/2012,,
06268,CT,5.88,25872.0,09/26/2012,,
06489,CT,7.14,52416.0,09/26/2012,,
06489,CT,7.99,53510.0,09/26/2012,,
06513,CT,4.0,11440.0,09/26/2012,,
06074,CT,7.0,28434.7,09/26/2012,,
06002,CT,7.5,32446.0,09/26/2012,,
06468,CT,7.2,40464.0,09/26/2012,,
06437,CT,8.25,40800.0,09/17/2012,,
06777,CT,2.94,14700.0,09/13/2012,,
06027,CT,4.18,16265.6,09/13/2012,,
06082,CT,6.37,41455.12,09/13/2012,,
06082,CT,4.6,38317.86,09/13/2012,,
06242,CT,4.5,18900.0,09/13/2012,,
06010,CT,5.64,31584.0,09/13/2012,,
06242,CT,4.5,18900.0,09/13/2012,,
06378,CT,10.92,62715.0,09/12/2012,,
06611,CT,11.0,65500.0,09/11/2012,,
06232,CT,9.76,36507.47,09/11/2012,,
06250,CT,10.4,73045.0,09/11/2012,,
06824,CT,3.76,20605.0,09/11/2012,,
06468,CT,4.41,36750.0,09/10/2012,,
06853,CT,6.72,26410.0,09/10/2012,,
06335,CT,5.04,25603.2,09/07/2012,,
06035,CT,8.4,32900.0,09/07/2012,,
06241,CT,2.88,14914.0,09/07/2012,,
06447,CT,5.64,20000.0,09/07/2012,,
06281,CT,4.5,18900.0,09/07/2012,,
06260,CT,7.44,29677.0,09/07/2012,,
06759,CT,9.5,36825.0,09/07/2012,,
06468,CT,7.82,39491.0,09/07/2012,,
06612,CT,8.46,47995.0,09/07/2012,,
06443,CT,10.08,53247.0,09/07/2012,,
06751,CT,1.68,9150.0,09/07/2012,,
06013,CT,5.75,23047.2,08/31/2012,,
06378,CT,6.62,31752.01,08/28/2012,,
06484,CT,5.64,29553.0,08/28/2012,,
06457,CT,4.5,22783.0,08/28/2012,,
06488,CT,9.81,52097.0,08/24/2012,,
06415,CT,3.0,12600.0,08/24/2012,,
